,columns,170101,170103,170104,170108,16090101,16090401,16090601,16091201,16091301,16091401,16092001,16092101,16092201,16092301,16092501,16092801,16093001,16093201,16093301,16093501,16093601,16093801
26,0_FFT mean coefficient_8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27,0_FFT mean coefficient_9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28,0_FFT mean coefficient_10,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
29,0_FFT mean coefficient_11,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,0_FFT mean coefficient_12,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0_FFT mean coefficient_13,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
32,0_FFT mean coefficient_14,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
33,0_FFT mean coefficient_15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,0_FFT mean coefficient_16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
35,0_FFT mean coefficient_17,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36,0_FFT mean coefficient_18,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
37,0_FFT mean coefficient_19,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
38,0_FFT mean coefficient_20,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
39,0_FFT mean coefficient_21,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40,0_FFT mean coefficient_22,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41,0_FFT mean coefficient_23,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,0_FFT mean coefficient_24,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43,0_FFT mean coefficient_25,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44,0_FFT mean coefficient_26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
45,0_FFT mean coefficient_27,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
46,0_FFT mean coefficient_28,False,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False
47,0_FFT mean coefficient_29,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
48,0_FFT mean coefficient_30,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49,0_FFT mean coefficient_31,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
50,0_FFT mean coefficient_32,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
51,0_FFT mean coefficient_33,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
52,0_FFT mean coefficient_34,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,0_FFT mean coefficient_35,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,0_FFT mean coefficient_36,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,0_FFT mean coefficient_37,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
56,0_FFT mean coefficient_38,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
57,0_FFT mean coefficient_39,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
58,0_FFT mean coefficient_40,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
59,0_FFT mean coefficient_41,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
60,0_FFT mean coefficient_42,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,0_FFT mean coefficient_43,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
62,0_FFT mean coefficient_44,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,0_FFT mean coefficient_45,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,0_FFT mean coefficient_46,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
65,0_FFT mean coefficient_47,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
66,0_FFT mean coefficient_48,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
67,0_FFT mean coefficient_49,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,0_FFT mean coefficient_50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
69,0_FFT mean coefficient_51,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
70,0_FFT mean coefficient_52,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
71,0_FFT mean coefficient_53,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,0_FFT mean coefficient_54,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,0_FFT mean coefficient_55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
74,0_FFT mean coefficient_56,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,0_FFT mean coefficient_57,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
76,0_FFT mean coefficient_58,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
77,0_FFT mean coefficient_59,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
78,0_FFT mean coefficient_60,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
79,0_FFT mean coefficient_61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
80,0_FFT mean coefficient_62,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
81,0_FFT mean coefficient_63,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
82,0_FFT mean coefficient_64,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
83,0_FFT mean coefficient_65,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
84,0_FFT mean coefficient_66,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
85,0_FFT mean coefficient_67,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
86,0_FFT mean coefficient_68,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
87,0_FFT mean coefficient_69,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
88,0_FFT mean coefficient_70,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
89,0_FFT mean coefficient_71,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
90,0_FFT mean coefficient_72,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
91,0_FFT mean coefficient_73,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
92,0_FFT mean coefficient_74,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
93,0_FFT mean coefficient_75,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
94,0_FFT mean coefficient_76,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
95,0_FFT mean coefficient_77,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,0_FFT mean coefficient_78,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
97,0_FFT mean coefficient_79,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
98,0_FFT mean coefficient_80,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
99,0_FFT mean coefficient_81,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
100,0_FFT mean coefficient_82,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101,0_FFT mean coefficient_83,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
102,0_FFT mean coefficient_84,False,False,False,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False
103,0_FFT mean coefficient_85,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
104,0_FFT mean coefficient_86,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,0_FFT mean coefficient_87,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
106,0_FFT mean coefficient_88,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
107,0_FFT mean coefficient_89,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
108,0_FFT mean coefficient_90,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
109,0_FFT mean coefficient_91,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
110,0_FFT mean coefficient_92,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
111,0_FFT mean coefficient_93,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
112,0_FFT mean coefficient_94,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
113,0_FFT mean coefficient_95,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
114,0_FFT mean coefficient_96,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
115,0_FFT mean coefficient_97,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
116,0_FFT mean coefficient_98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
117,0_FFT mean coefficient_99,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
118,0_FFT mean coefficient_100,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
119,0_FFT mean coefficient_101,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,0_FFT mean coefficient_102,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
121,0_FFT mean coefficient_103,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
122,0_FFT mean coefficient_104,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
123,0_FFT mean coefficient_105,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
124,0_FFT mean coefficient_106,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
125,0_FFT mean coefficient_107,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
126,0_FFT mean coefficient_108,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
127,0_FFT mean coefficient_109,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
128,0_FFT mean coefficient_110,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
129,0_FFT mean coefficient_111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
130,0_FFT mean coefficient_112,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
131,0_FFT mean coefficient_113,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
132,0_FFT mean coefficient_114,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
133,0_FFT mean coefficient_115,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
134,0_FFT mean coefficient_116,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False
135,0_FFT mean coefficient_117,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
136,0_FFT mean coefficient_118,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
137,0_FFT mean coefficient_119,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
138,0_FFT mean coefficient_120,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
139,0_FFT mean coefficient_121,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
140,0_FFT mean coefficient_122,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
141,0_FFT mean coefficient_123,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
142,0_FFT mean coefficient_124,False,False,False,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False
143,0_FFT mean coefficient_125,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
144,0_FFT mean coefficient_126,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145,0_FFT mean coefficient_127,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
146,0_FFT mean coefficient_128,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
147,0_FFT mean coefficient_129,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
148,0_FFT mean coefficient_130,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
149,0_FFT mean coefficient_131,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
150,0_FFT mean coefficient_132,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
151,0_FFT mean coefficient_133,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
152,0_FFT mean coefficient_134,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
153,0_FFT mean coefficient_135,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
154,0_FFT mean coefficient_136,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
155,0_FFT mean coefficient_137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
156,0_FFT mean coefficient_138,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
157,0_FFT mean coefficient_139,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
158,0_FFT mean coefficient_140,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
159,0_FFT mean coefficient_141,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
160,0_FFT mean coefficient_142,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
161,0_FFT mean coefficient_143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
162,0_FFT mean coefficient_144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
163,0_FFT mean coefficient_145,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
164,0_FFT mean coefficient_146,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
165,0_FFT mean coefficient_147,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
166,0_FFT mean coefficient_148,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
167,0_FFT mean coefficient_149,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
168,0_FFT mean coefficient_150,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
169,0_FFT mean coefficient_151,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
170,0_FFT mean coefficient_152,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
171,0_FFT mean coefficient_153,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
172,0_FFT mean coefficient_154,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
173,0_FFT mean coefficient_155,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
174,0_FFT mean coefficient_156,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
175,0_FFT mean coefficient_157,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
176,0_FFT mean coefficient_158,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
177,0_FFT mean coefficient_159,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
178,0_FFT mean coefficient_160,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
179,0_FFT mean coefficient_161,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
180,0_FFT mean coefficient_162,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
181,0_FFT mean coefficient_163,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
182,0_FFT mean coefficient_164,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
183,0_FFT mean coefficient_165,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
184,0_FFT mean coefficient_166,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
185,0_FFT mean coefficient_167,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
186,0_FFT mean coefficient_168,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
187,0_FFT mean coefficient_169,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
188,0_FFT mean coefficient_170,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
189,0_FFT mean coefficient_171,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
190,0_FFT mean coefficient_172,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False
191,0_FFT mean coefficient_173,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
192,0_FFT mean coefficient_174,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
193,0_FFT mean coefficient_175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
194,0_FFT mean coefficient_176,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
195,0_FFT mean coefficient_177,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
196,0_FFT mean coefficient_178,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,0_FFT mean coefficient_179,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
198,0_FFT mean coefficient_180,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
199,0_FFT mean coefficient_181,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
200,0_FFT mean coefficient_182,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
201,0_FFT mean coefficient_183,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
202,0_FFT mean coefficient_184,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
203,0_FFT mean coefficient_185,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
204,0_FFT mean coefficient_186,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
205,0_FFT mean coefficient_187,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
206,0_FFT mean coefficient_188,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
207,0_FFT mean coefficient_189,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
208,0_FFT mean coefficient_190,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
209,0_FFT mean coefficient_191,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
210,0_FFT mean coefficient_192,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
211,0_FFT mean coefficient_193,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
212,0_FFT mean coefficient_194,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,0_FFT mean coefficient_195,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
214,0_FFT mean coefficient_196,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
215,0_FFT mean coefficient_197,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
216,0_FFT mean coefficient_198,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
217,0_FFT mean coefficient_199,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
218,0_FFT mean coefficient_200,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
219,0_FFT mean coefficient_201,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
220,0_FFT mean coefficient_202,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
221,0_FFT mean coefficient_203,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
222,0_FFT mean coefficient_204,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
223,0_FFT mean coefficient_205,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
224,0_FFT mean coefficient_206,False,False,False,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
225,0_FFT mean coefficient_207,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
226,0_FFT mean coefficient_208,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
227,0_FFT mean coefficient_209,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
228,0_FFT mean coefficient_210,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
229,0_FFT mean coefficient_211,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
230,0_FFT mean coefficient_212,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
